"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 16 22:33:15 MSK 2026","Thu Apr 16 22:33:20 MSK 2026","4197","","Тесты авторизации пользователя","","LoginTest","loginViaMainPageButton","Вход по кнопке «Войти в аккаунт» на главной","Проверка авторизации через кнопку на главной странице"
"passed","Thu Apr 16 22:33:40 MSK 2026","Thu Apr 16 22:33:45 MSK 2026","4379","","Тесты навигации по сайту","","NavigationTest","testGoToProfile","Переход в личный кабинет","По клику на 'Личный Кабинет' открывается страница профиля"
"passed","Thu Apr 16 22:33:06 MSK 2026","Thu Apr 16 22:33:09 MSK 2026","3597","","Тесты регистрации пользователя","","RegistrationTest","successRegistration","Успешная регистрация","При вводе валидных данных происходит переход на страницу логина"
"passed","Thu Apr 16 22:33:45 MSK 2026","Thu Apr 16 22:33:49 MSK 2026","4452","","Тесты навигации по сайту","","NavigationTest","testProfileToConstructor","Переход из личного кабинета в конструктор по ссылке 'Конструктор'","По клику на 'Конструктор' происходит переход на главную страницу"
"passed","Thu Apr 16 22:33:56 MSK 2026","Thu Apr 16 22:34:00 MSK 2026","4369","","Тесты навигации по сайту","","NavigationTest","testLogoFromProfile","Переход из личного кабинета на главную по логотипу","По клику на логотип Stellar Burgers происходит переход на главную страницу"
"passed","Thu Apr 16 22:33:24 MSK 2026","Thu Apr 16 22:33:29 MSK 2026","5055","","Тесты авторизации пользователя","","LoginTest","loginViaRegistrationForm","Вход через кнопку в форме регистрации","Нажать 'Войти' на странице регистрации /register"
"passed","Thu Apr 16 22:33:37 MSK 2026","Thu Apr 16 22:33:40 MSK 2026","3277","","Тесты раздела Конструктор","","ConstructorTest","testScrollToBun","Переход к разделу «Булки»","По клику на вкладку 'Булки' отображается соответствующий раздел"
"passed","Thu Apr 16 22:33:20 MSK 2026","Thu Apr 16 22:33:24 MSK 2026","4454","","Тесты авторизации пользователя","","LoginTest","loginViaForgotPasswordPage","Вход через кнопку в форме восстановления пароля","Нажать 'Войти' на странице восстановления пароля /forgot-password"
"passed","Thu Apr 16 22:33:49 MSK 2026","Thu Apr 16 22:33:56 MSK 2026","6617","","Тесты навигации по сайту","","NavigationTest","testLogout","Выход из аккаунта","По клику 'Выйти' в личном кабинете происходит переход на страницу логина"
"passed","Thu Apr 16 22:33:09 MSK 2026","Thu Apr 16 22:33:15 MSK 2026","5962","","Тесты авторизации пользователя","","LoginTest","loginViaPersonalAccountButton","Вход через кнопку «Личный кабинет»","Проверка авторизации при переходе через шапку сайта"
"passed","Thu Apr 16 22:33:01 MSK 2026","Thu Apr 16 22:33:06 MSK 2026","5114","","Тесты регистрации пользователя","","RegistrationTest","errorRegistrationShortPassword","Ошибка регистрации при коротком пароле","При вводе пароля менее 6 символов отображается ошибка 'Некорректный пароль'"
"passed","Thu Apr 16 22:33:32 MSK 2026","Thu Apr 16 22:33:37 MSK 2026","4831","","Тесты раздела Конструктор","","ConstructorTest","testScrollToSauce","Переход к разделу «Соусы»","По клику на вкладку 'Соусы' отображается соответствующий раздел"
"passed","Thu Apr 16 22:33:29 MSK 2026","Thu Apr 16 22:33:32 MSK 2026","2897","","Тесты раздела Конструктор","","ConstructorTest","testScrollToFilling","Переход к разделу «Начинки»","По клику на вкладку 'Начинки' отображается соответствующий раздел"
